97-10291,1,1997-1998,BEED,MATHEMATICS,Math 1,Basic Mathematics I,1.6,,3
97-10291,1,1997-1998,BEED,MATHEMATICS,Fili 1,"Gamiting Filipino, Komposisyon at Pagbasa",2,,3
97-10291,1,1997-1998,BEED,MATHEMATICS,Eng 3,Developmental Reading,1.5,,3
97-10291,1,1997-1998,BEED,MATHEMATICS,Human 1,Art Education,1.4,,3
97-10291,1,1997-1998,BEED,MATHEMATICS,ProfEd 1,Human Growth Learning and Development,2.2,,3
97-10291,1,1997-1998,BEED,MATHEMATICS,ProfEd 2,"Sociological, Psychological, Anthropological Foundation",2.3,,3
97-10291,2,1997-1998,BEED,MATHEMATICS,Human 2,Fundamentals of Music,2.1,,3
97-10291,2,1997-1998,BEED,MATHEMATICS,Math 6,Plane and Solid Geometry,3,,3
97-10291,2,1997-1998,BEED,MATHEMATICS,Fili 4,Filipino sa Tanging Gamit,2.5,,3
97-10291,2,1997-1998,BEED,MATHEMATICS,ProfEd 3,"Historical, Philosophical, and Legal Foundation",2,,3
97-10291,2,1997-1998,BEED,MATHEMATICS,SocSci 6,Health Education - Personal and Community Hygiene,1.8,,3
97-10291,2,1997-1998,BEED,MATHEMATICS,Fili 2,Kasanayan/Sining ng Pakikipagtalastasan,1.9,,3
97-10291,2,1997-1998,BEED,MATHEMATICS,Math 2,Basic Mathematics II,2.4,,3
97-10291,1,1998-1999,BEED,MATHEMATICS,Math 9,Introduction to Computers,1.8,,3
97-10291,1,1998-1999,BEED,MATHEMATICS,Math 8,Fundamental Concepts of Mathematics,2.6,,3
97-10291,1,1998-1999,BEED,MATHEMATICS,ProfEd 5A,Teaching Strategies I for BEED/DET,INC,2.3,3
97-10291,1,1998-1999,BEED,MATHEMATICS,PrArts 1,Home Economics and Livelihood Education I,INC,2.2,3
97-10291,1,1998-1999,BEED,MATHEMATICS,Eng 12,Teaching Children's Literature,1.9,,3
97-10291,1,1998-1999,BEED,MATHEMATICS,Math 4,Plane and Spherical Trigonometry,2.9,,3
97-10291,1,1998-1999,BEED,MATHEMATICS,Human 3,Phil. Music incl. Material and Method of Music Instruction,1.9,,3
97-10291,1,1998-1999,BEED,MATHEMATICS,ProfEd 6,Guidance and Counseling incl. SPED,1.8,,3
97-10291,2,1998-1999,BEED,MATHEMATICS,ProfEd 5B,Teaching Strategies II for BEED/DET,INC,2.4,3
97-10291,2,1998-1999,BEED,MATHEMATICS,ProfEd 5C,Teaching Strategies III for BEED/DET,INC,2.5,3
97-10291,2,1998-1999,BEED,MATHEMATICS,ProfEd 4,Principles of Teaching and Educational Technology,1.9,,3
97-10291,2,1998-1999,BEED,MATHEMATICS,Math 10,Probability and Statistics,2.9,,3
97-10291,2,1998-1999,BEED,MATHEMATICS,Eng 8(O),Effective Writing including Business Correspondence,INC,2.8,3
97-10291,2,1998-1999,BEED,MATHEMATICS,ProfEd 7,Measurement and Evaluation incl. Research,2.7,,3
97-10291,2,1998-1999,BEED,MATHEMATICS,PrArts 2,Home Economics and Livelihood Education II,INC,2.2,3
97-10291,2,1998-1999,BEED,MATHEMATICS,SocPhil 2,Institution and Ideologies,2.3,,3
97-10291,1,2000-2001,BEED,MATHEMATICS,ProfEd 9,NFE and Community Organization,2.1,,3
97-10291,1,2000-2001,BEED,MATHEMATICS,SocSci 11,Logic,2.3,,3
97-10291,1,2000-2001,BEED,MATHEMATICS,Eng 2,Communication Arts II,2.3,,3
97-10291,1,2000-2001,BEED,MATHEMATICS,ProfEd 0,Observation and Participation,INC,,-
97-10291,1,2000-2001,BEED,MATHEMATICS,Math 7,Analytical Geometry,2.2,,3
97-10291,1, 2001-2002,BEED,MATHEMATICS,ProfEd 0,Observation and Participation,2.4,,3
97-10291,2, 2001-2002,BEED,MATHEMATICS,ProfEd 10,Student Teaching,2.2,,12
97-10291,2, 2001-2002,BEED,MATHEMATICS,ProfEd 10b,Undergraduate Seminar,2,,1
