06-10007,1, 2006-2007,BSED,MAPE,ED 101,Developmental Reading I,2.1,,3
06-10007,1, 2006-2007,BSED,MAPE,ENGL 101,Study and Thinking Skills,1.8,,3
06-10007,1, 2006-2007,BSED,MAPE,FILI 101,Komunikasyon sa Akademikong Filipino,1.7,,3
06-10007,1, 2006-2007,BSED,MAPE,HUMAN 101,Fundamentals of Music,1.6,,3
06-10007,1, 2006-2007,BSED,MAPE,MATH 101,Fundamentals of  Mathematics,5,,-
06-10007,1, 2006-2007,BSED,MAPE,SCIE 101,Physical Science,INC,3,3
06-10007,1, 2006-2007,BSED,MAPE,SS 101,General Psychology,2.9,,3
06-10007,1, 2006-2007,BSED,MAPE,SS 103,Philippine History,2.2,,3
06-10007,1, 2006-2007,BSED,MAPE,PE 101,Self-Testing Activities,1.8,,2
06-10007,1, 2006-2007,BSED,MAPE,NSTP 101,National Service Training I (CWTS),2.1,,3
06-10007,2, 2006-2007,BSED,MAPE,MAPE 102,Foundations of MAPE,1.7,,3
06-10007,2, 2006-2007,BSED,MAPE,MAPE 104,Safety Education and First Aid,1.6,,3
06-10007,2, 2006-2007,BSED,MAPE,MAPE 106,"Personal, Community, Environment, Health, Safety Ed. & First Aid",1.7,,3
06-10007,2, 2006-2007,BSED,MAPE,ENGL 102,Writing in the Discipline,INC,5,-
06-10007,2, 2006-2007,BSED,MAPE,FILI 102,Pagbasa at Pagsulat Tungo sa Pananaliksik,1.5,,3
06-10007,2, 2006-2007,BSED,MAPE,MATH 102,College Algebra,DR,,-
06-10007,2, 2006-2007,BSED,MAPE,SCIE 102,Biological Science,3,,5
06-10007,2, 2006-2007,BSED,MAPE,PE 102,Rhythmic Activities,1.6,,2
06-10007,2, 2006-2007,BSED,MAPE,NSTP 102,National Service Training II (CWTS),INC,1.5,3
06-10007,1,2007-2008,BSED,MAPE,ED 201,Facilitating Learning,INC,5,-
06-10007,1,2007-2008,BSED,MAPE,ED 203,Educational Technology I (Visual Aids),INC,5,-
06-10007,1,2007-2008,BSED,MAPE,ED 205,Child and Adolescent Development,INC,5,-
06-10007,1,2007-2008,BSED,MAPE,ENGL 201,Speech Improvement and Oral Communication,INC,5,-
06-10007,1,2007-2008,BSED,MAPE,ENGL 203,Literature of the Philippines,5,,-
06-10007,1,2007-2008,BSED,MAPE,FILI 201,Masining na Pagpapahayag,INC,5,-
06-10007,1,2007-2008,BSED,MAPE,MAPE 201,Integrated Music Theory,INC,5,-
06-10007,1,2007-2008,BSED,MAPE,PE 201-U,Games and Team Sports,1.2,,2
06-10007,1,2007-2008,BSED,MAPE,MATH 101,General Mathematics,2.6,,3
06-10007,1,2007-2008,BSED,MAPE,ICT 201-S,Introduction to Computer,2.9,,4
06-10007,2,2007-2008,BSED,MAPE,ED 202,Principles of Teaching I,INC,5,-
06-10007,2,2007-2008,BSED,MAPE,ED 204,Educational Technology II,DR,,-
06-10007,2,2007-2008,BSED,MAPE,ED 208,Social Dimension in Education,DR,,-
06-10007,2,2007-2008,BSED,MAPE,MAPE 202,Practicum (Health Sciences),DR,,-
